ExpertRole,KoSch M2.4,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3
Android Launcher Architect,7.9,8.3,7.1,7.0,7.2,7.4,7.0
Android Framework Engineer,7.9,8.2,6.7,6.7,6.8,7.2,6.7
Jetpack Compose Engineer,7.9,8.3,7.0,7.0,7.1,7.3,7.0
Mobile UX Director,8.1,8.4,7.1,7.1,7.2,7.4,7.0
Visual Design Lead,8.0,8.3,7.0,7.0,7.1,7.3,7.0
Interaction Designer,8.0,8.4,7.2,7.1,7.3,7.5,7.1
Accessibility Auditor,7.7,8.3,7.0,6.9,7.0,7.3,6.9
Privacy Engineer,8.0,8.3,7.1,7.0,7.1,7.4,7.1
Mobile Security Engineer,7.9,8.3,7.0,7.0,7.0,7.3,7.0
Applied AI Architect,7.9,8.2,6.8,6.9,6.8,7.1,6.9
On-device ML Engineer,7.8,8.2,6.9,6.9,6.8,7.1,6.9
LLM Safety Researcher,7.9,8.2,6.9,6.9,7.0,7.3,7.0
Open-source Compliance Counsel,8.0,8.3,7.0,6.9,7.1,7.4,7.0
Product Manager,8.0,8.3,7.2,7.0,7.3,7.4,7.0
Android Power User,8.0,8.3,7.0,6.9,7.0,7.3,6.9
Accessibility User Advocate,7.8,8.3,7.0,7.0,7.1,7.4,6.9
SAF and File Systems Expert,7.9,8.2,6.8,6.7,6.8,7.2,6.8
Telephony Integration Engineer,8.0,8.2,6.8,6.7,6.8,7.2,6.7
Widget and Shortcut Expert,7.9,8.3,7.2,7.0,7.2,7.4,7.0
Mobile Performance Engineer,7.8,8.2,6.9,6.8,7.0,7.3,6.9
Battery and Thermal Engineer,7.8,8.2,6.9,6.8,7.0,7.3,6.9
QA Automation Lead,7.8,8.2,6.9,6.8,7.0,7.3,6.9
Reliability/SRE Engineer,7.8,8.2,6.9,6.8,7.0,7.3,6.9
Google Play Policy Reviewer,7.9,8.3,7.0,7.0,7.0,7.3,7.0
Competitive Product Analyst,7.9,8.3,7.2,7.0,7.3,7.4,7.0
