ExpertRole,KoSch M2.2,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3
Android Launcher Architect,6.8,8.2,7.3,7.2,7.3,7.3,7.2
Android Framework Engineer,6.8,8.1,6.8,6.8,6.9,7.1,6.7
Jetpack Compose Engineer,6.8,8.2,7.2,7.2,7.2,7.2,7.2
Mobile UX Director,6.9,8.2,7.2,7.2,7.3,7.3,7.1
Visual Design Lead,6.9,8.2,7.2,7.2,7.2,7.2,7.1
Interaction Designer,6.8,8.3,7.4,7.3,7.4,7.4,7.3
Accessibility Auditor,6.6,8.2,7.2,7.2,7.2,7.2,7.1
Privacy Engineer,6.9,8.1,7.1,7.1,7.2,7.2,7.1
Mobile Security Engineer,6.8,8.1,7.1,7.1,7.1,7.2,7.1
Applied AI Architect,6.8,8.0,6.9,7.0,6.9,7.0,7.0
On-device ML Engineer,6.7,8.0,7.0,7.0,6.9,7.0,7.0
LLM Safety Researcher,6.7,8.0,6.9,7.0,7.0,7.1,7.0
Open-source Compliance Counsel,6.9,8.0,7.0,7.0,7.1,7.1,7.0
Product Manager,6.9,8.2,7.4,7.2,7.4,7.3,7.2
Android Power User,6.9,8.1,7.1,7.0,7.1,7.2,6.9
Accessibility User Advocate,6.6,8.2,7.2,7.2,7.3,7.3,7.1
SAF and File Systems Expert,6.8,8.0,6.8,6.8,6.8,7.1,6.8
Telephony Integration Engineer,6.9,8.0,6.8,6.7,6.8,7.1,6.7
Widget and Shortcut Expert,6.7,8.2,7.4,7.2,7.3,7.3,7.2
Mobile Performance Engineer,6.6,8.1,7.1,7.0,7.1,7.2,7.1
Battery and Thermal Engineer,6.7,8.1,7.1,7.0,7.1,7.2,7.1
QA Automation Lead,6.6,8.1,7.1,7.0,7.1,7.2,7.1
Reliability/SRE Engineer,6.6,8.1,7.1,7.0,7.1,7.2,7.1
Google Play Policy Reviewer,6.8,8.1,7.1,7.1,7.1,7.2,7.1
Competitive Product Analyst,6.8,8.2,7.4,7.2,7.4,7.3,7.2
