ID,Kategorie,Bereich,KoSch M2.4,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3,Führend,KoSch_Lücke_zur_Spitze
C01,Erster visueller Eindruck,UX,8.8,8.6,8.1,9.3,8.8,8.0,8.3,Niagara 1.x,0.5
C02,Onboarding-Qualität,UX,8.6,8.2,7.7,8.0,8.0,8.1,7.0,KoSch M2.4,0.0
C03,Time-to-Value,UX,8.5,9.3,8.4,9.0,8.6,7.5,8.5,Pixel / Android 17,0.8
C04,Interaktionsklarheit,UX,8.4,9.0,8.2,9.2,8.5,8.0,8.0,Niagara 1.x,0.8
C05,Visuelle Kohärenz,UX,8.6,9.4,8.2,9.5,9.0,8.5,8.6,Niagara 1.x,0.9
C06,Kleine Displays,UX,7.2,9.1,8.5,9.3,8.8,8.0,8.7,Niagara 1.x,2.1
C07,Tablet/Foldable/Landscape,UX,7.6,8.3,7.8,7.0,8.2,7.5,8.0,Pixel / Android 17,0.7
C08,Semantische Accessibility,UX,7.3,9.1,7.8,8.5,8.0,8.2,7.5,Pixel / Android 17,1.8
C09,Kontrast und Lesbarkeit,UX,8.1,9.3,8.4,9.0,8.8,8.5,8.5,Pixel / Android 17,1.2
C10,Reduced Motion und Bewegung,UX,7.4,9.0,8.2,8.8,8.3,8.0,8.0,Pixel / Android 17,1.6
C11,App-Entdeckung,Launcher,8.5,8.8,9.0,9.4,9.1,8.5,9.0,Niagara 1.x,0.9
C12,App-Start-Zuverlässigkeit,Launcher,8.3,9.7,9.2,9.3,9.2,9.0,8.2,Pixel / Android 17,1.4
C13,Suchrelevanz,Launcher,8.0,9.2,8.7,9.0,9.0,8.0,8.7,Pixel / Android 17,1.2
C14,Smart Collections,Launcher,8.1,6.8,9.0,8.2,9.7,8.5,8.0,Smart Launcher 6.6,1.6
C15,Zuletzt verwendet,Launcher,8.2,8.7,8.6,8.8,8.7,9.0,8.5,Microsoft Launcher,0.8
C16,Workspace-Anpassung,Launcher,7.6,6.8,9.6,7.0,9.2,8.5,9.5,Nova 8 / 8.1 Beta,2.0
C17,Ordner,Launcher,6.7,7.6,9.3,9.2,9.1,8.8,8.8,Nova 8 / 8.1 Beta,2.6
C18,Mehrere Seiten und Dock,Launcher,7.6,8.7,9.5,5.2,9.3,8.8,9.0,Nova 8 / 8.1 Beta,1.9
C19,App-Shortcuts,Launcher,7.4,9.5,9.2,9.0,9.0,8.0,9.0,Pixel / Android 17,2.1
C20,Widget Hosting,Launcher,7.2,9.1,9.2,9.2,9.3,8.5,9.0,Smart Launcher 6.6,2.1
