ExpertRole,KoSch M2.3,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3
Android Launcher Architect,7.4,8.2,7.2,7.1,7.3,7.4,7.2
Android Framework Engineer,7.4,8.1,6.8,6.8,6.9,7.2,6.8
Jetpack Compose Engineer,7.4,8.2,7.1,7.1,7.2,7.3,7.2
Mobile UX Director,7.6,8.3,7.2,7.2,7.3,7.4,7.1
Visual Design Lead,7.5,8.2,7.1,7.1,7.2,7.3,7.1
Interaction Designer,7.4,8.3,7.3,7.2,7.4,7.5,7.3
Accessibility Auditor,7.2,8.2,7.1,7.1,7.1,7.3,7.1
Privacy Engineer,7.5,8.2,7.1,7.1,7.2,7.4,7.2
Mobile Security Engineer,7.4,8.2,7.1,7.1,7.1,7.3,7.1
Applied AI Architect,7.4,8.1,6.9,7.0,6.9,7.1,7.0
On-device ML Engineer,7.3,8.1,7.0,7.0,6.9,7.1,7.0
LLM Safety Researcher,7.4,8.1,6.9,7.0,7.0,7.3,7.1
Open-source Compliance Counsel,7.5,8.1,7.0,7.0,7.1,7.3,7.1
Product Manager,7.5,8.2,7.3,7.1,7.4,7.4,7.2
Android Power User,7.5,8.2,7.1,7.0,7.1,7.3,7.0
Accessibility User Advocate,7.3,8.2,7.1,7.1,7.2,7.4,7.1
SAF and File Systems Expert,7.5,8.1,6.8,6.8,6.8,7.2,6.9
Telephony Integration Engineer,7.5,8.1,6.8,6.7,6.8,7.2,6.8
Widget and Shortcut Expert,7.3,8.2,7.3,7.1,7.3,7.4,7.2
Mobile Performance Engineer,7.3,8.1,7.0,6.9,7.1,7.3,7.1
Battery and Thermal Engineer,7.3,8.1,7.0,6.9,7.1,7.3,7.1
QA Automation Lead,7.3,8.1,7.0,6.9,7.1,7.3,7.1
Reliability/SRE Engineer,7.3,8.1,7.0,6.9,7.1,7.3,7.1
Google Play Policy Reviewer,7.4,8.2,7.1,7.1,7.1,7.3,7.1
Competitive Product Analyst,7.4,8.2,7.3,7.1,7.4,7.4,7.2
