ExpertRole,KoSch M2.1,Pixel / Android 16,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3
"Android Launcher Architect",6.5,8.2,7.6,7.5,7.6,7.6,7.4
"Android Framework Engineer",6.5,8.1,7.1,7.0,7.1,7.4,6.9
"Jetpack Compose Engineer",6.6,8.2,7.5,7.5,7.5,7.5,7.4
"Mobile UX Director",6.6,8.2,7.5,7.5,7.6,7.6,7.3
"Visual Design Lead",6.7,8.2,7.5,7.5,7.5,7.5,7.3
"Interaction Designer",6.6,8.3,7.7,7.6,7.7,7.7,7.5
"Accessibility Auditor",6.7,8.2,7.5,7.5,7.5,7.5,7.3
"Privacy Engineer",6.7,8.1,7.4,7.3,7.4,7.4,7.3
"Mobile Security Engineer",6.7,8.1,7.4,7.3,7.4,7.4,7.3
"Applied AI Architect",6.7,8.0,7.2,7.2,7.2,7.3,7.2
"On-device ML Engineer",6.6,8.0,7.3,7.2,7.2,7.3,7.2
"LLM Safety Researcher",6.8,8.0,7.2,7.2,7.2,7.3,7.2
"Open-source Compliance Counsel",6.6,8.0,7.3,7.2,7.3,7.3,7.2
"Product Manager",6.6,8.2,7.7,7.5,7.7,7.6,7.4
"Android Power User",6.6,8.1,7.4,7.2,7.3,7.5,7.1
"Accessibility User Advocate",6.6,8.2,7.5,7.5,7.6,7.6,7.3
"SAF and File Systems Expert",6.7,8.0,7.1,7.0,7.0,7.3,7.0
"Telephony Integration Engineer",6.6,8.0,7.1,6.9,7.0,7.3,6.9
"Widget and Shortcut Expert",6.6,8.2,7.7,7.5,7.6,7.6,7.4
"Mobile Performance Engineer",6.5,8.1,7.4,7.3,7.4,7.5,7.3
"Battery and Thermal Engineer",6.5,8.1,7.4,7.3,7.4,7.5,7.3
"QA Automation Lead",6.5,8.1,7.4,7.3,7.4,7.5,7.3
"Reliability/SRE Engineer",6.5,8.1,7.4,7.3,7.4,7.5,7.3
"Google Play Policy Reviewer",6.7,8.1,7.4,7.3,7.4,7.5,7.3
"Competitive Product Analyst",6.6,8.2,7.7,7.5,7.7,7.6,7.4
